count,wgs_lng,wgs_lat,time
1.0,113.32543830571424,23.143950560364775,2018-09-23-00-18-26
1.0,113.32743421076417,23.14394675270455,2018-09-23-00-18-26
1.0,113.32868166200136,23.14394438013925,2018-09-23-00-18-26
1.0,113.32943013750798,23.14394296005812,2018-09-23-00-18-26
1.0,113.32967963021795,23.14394248734825,2018-09-23-00-18-26
2.0,113.32992912338744,23.14394201498423,2018-09-23-00-18-26
2.0,113.33017861702983,23.143941542978407,2018-09-23-00-18-26
1.0,113.33042811115853,23.143941071343132,2018-09-23-00-18-26
1.0,113.33092710092825,23.14394012923361,2018-09-23-00-18-26
1.0,113.33142609280364,23.14393918875439,2018-09-23-00-18-26
1.0,113.33167558956437,23.143938719156978,2018-09-23-00-18-26
1.0,113.33217458479862,23.143937781308182,2018-09-23-00-18-26
1.0,113.33292308213228,23.14393637808479,2018-09-23-00-18-26
1.0,113.33342208349843,23.143935445112618,2018-09-23-00-18-26
1.0,113.33367158516458,23.14393497941644,2018-09-23-00-18-26
1.0,113.33392108750384,23.143934514263236,2018-09-23-00-18-26
1.0,113.33417059052954,23.143934049665283,2018-09-23-00-18-26
1.0,113.33442009425494,23.143933585634848,2018-09-23-00-18-26
1.0,113.33541811641913,23.143931735433277,2018-09-23-00-18-26
1.0,113.33666566145891,23.143929436918803,2018-09-23-00-18-26
1.0,113.32493931504284,23.144201414845107,2018-09-23-00-18-26
1.0,113.3256877758958,23.14419998476366,2018-09-23-00-18-26
1.0,113.32593726331929,23.14419950834945,2018-09-23-00-18-26
1.0,113.32618675100136,23.14419903209564,2018-09-23-00-18-26
1.0,113.32643623895542,23.144198556014594,2018-09-23-00-18-26
1.0,113.32668572719483,23.14419808011868,2018-09-23-00-18-26
1.0,113.32718470458337,23.144197128931694,2018-09-23-00-18-26
1.0,113.32743419375932,23.144196653665357,2018-09-23-00-18-26
1.0,113.3276836832742,23.14419617863361,2018-09-23-00-18-26
1.0,113.32793317314146,23.144195703848823,2018-09-23-00-18-26
1.0,113.3281826633745,23.144195229323355,2018-09-23-00-18-26
1.0,113.32918062823227,23.144193334062,2018-09-23-00-18-26
1.0,113.3294301204951,23.144192861018595,2018-09-23-00-18-26
1.0,113.32967961320405,23.144192388308685,2018-09-23-00-18-26
1.0,113.32992910637255,23.14419191594462,2018-09-23-00-18-26
1.0,113.33017860001394,23.144191443938755,2018-09-23-00-18-26
1.0,113.33042809414164,23.14419097230344,2018-09-23-00-18-26
1.0,113.33092708390937,23.144190030193837,2018-09-23-00-18-26
1.0,113.33417057349779,23.14418395062497,2018-09-23-00-18-26
1.0,113.3354180993825,23.144181636392755,2018-09-23-00-18-26
1.0,113.3356676068045,23.144181175383547,2018-09-23-00-18-26
1.0,113.33716466816362,23.144178423214782,2018-09-23-00-18-26
1.0,113.32468981152583,23.144451792771385,2018-09-23-00-18-26
1.0,113.32493929804792,23.14445131583911,2018-09-23-00-18-26
1.0,113.3261867340014,23.144448933089436,2018-09-23-00-18-26
1.0,113.32768366626819,23.14444607962716,2018-09-23-00-18-26
1.0,113.32793315613443,23.14444560484233,2018-09-23-00-18-26
1.0,113.33067757175093,23.144440402044072,2018-09-23-00-18-26
