count,wgs_lng,wgs_lat,time
3.0,113.32468984551346,23.143951990816078,2018-10-09-11-00-17
2.0,113.32543830571423,23.14395056036477,2018-10-09-11-00-17
1.0,113.32593728031807,23.143949607388397,2018-10-09-11-00-17
1.0,113.32743421076417,23.143946752704547,2018-10-09-11-00-17
1.0,113.32868166200136,23.14394438013925,2018-10-09-11-00-17
2.0,113.32893115341308,23.143943906465978,2018-10-09-11-00-17
2.0,113.32918064524416,23.143943433101484,2018-10-09-11-00-17
1.0,113.329430137508,23.143942960058123,2018-10-09-11-00-17
1.0,113.32967963021795,23.14394248734825,2018-10-09-11-00-17
2.0,113.32992912338743,23.14394201498423,2018-10-09-11-00-17
2.0,113.33017861702984,23.14394154297841,2018-10-09-11-00-17
1.0,113.33042811115853,23.143941071343132,2018-10-09-11-00-17
2.0,113.33067760578687,23.14394060009075,2018-10-09-11-00-17
2.0,113.33092710092824,23.14394012923361,2018-10-09-11-00-17
1.0,113.33117659659607,23.143939658784053,2018-10-09-11-00-17
1.0,113.33167558956436,23.143938719156974,2018-10-09-11-00-17
3.0,113.33192508689156,23.14393825000414,2018-10-09-11-00-17
3.0,113.33217458479862,23.143937781308182,2018-10-09-11-00-17
4.0,113.33242408329887,23.14393731308143,2018-10-09-11-00-17
2.0,113.33342208349843,23.143935445112614,2018-10-09-11-00-17
3.0,113.33367158516458,23.143934979416443,2018-10-09-11-00-17
2.0,113.33392108750385,23.14393451426324,2018-10-09-11-00-17
2.0,113.33417059052955,23.143934049665283,2018-10-09-11-00-17
2.0,113.33442009425494,23.14393358563485,2018-10-09-11-00-17
2.0,113.33466959869335,23.14393312218418,2018-10-09-11-00-17
2.0,113.33491910385797,23.14393265932554,2018-10-09-11-00-17
2.0,113.33541811641912,23.143931735433284,2018-10-09-11-00-17
2.0,113.33591713204441,23.143930814055878,2018-10-09-11-00-17
3.0,113.33616664103913,23.143930354340785,2018-10-09-11-00-17
3.0,113.33641615083955,23.143929895291038,2018-10-09-11-00-17
2.0,113.33666566145894,23.143929436918807,2018-10-09-11-00-17
2.0,113.33716468520706,23.143928522255603,2018-10-09-11-00-17
1.0,113.33741419836224,23.143928065988945,2018-10-09-11-00-17
3.0,113.32493931504284,23.14420141484511,2018-10-09-11-00-17
1.0,113.32518880177095,23.144200938023854,2018-10-09-11-00-17
1.0,113.32543828871748,23.144200461325912,2018-10-09-11-00-17
2.0,113.32593726331929,23.14419950834945,2018-10-09-11-00-17
1.0,113.32618675100136,23.144199032095642,2018-10-09-11-00-17
10.0,113.32643623895542,23.144198556014594,2018-10-09-11-00-17
1.0,113.32668572719484,23.14419808011868,2018-10-09-11-00-17
1.0,113.32718470458336,23.14419712893169,2018-10-09-11-00-17
1.0,113.3274341937593,23.14419665366536,2018-10-09-11-00-17
1.0,113.32768368327422,23.14419617863361,2018-10-09-11-00-17
