count,wgs_lng,wgs_lat,time
1.0,113.32493933203757,23.143951513883888,2018-09-23-09-00-36
1.0,113.32568779289359,23.14395008380256,2018-09-23-09-00-36
1.0,113.32618676800116,23.143949131134626,2018-09-23-09-00-36
1.0,113.32743421076417,23.14394675270455,2018-09-23-09-00-36
1.0,113.32818268038238,23.143945328362673,2018-09-23-09-00-36
1.0,113.32868166200136,23.14394438013925,2018-09-23-09-00-36
2.0,113.32967963021795,23.14394248734825,2018-09-23-09-00-36
2.0,113.32992912338744,23.14394201498423,2018-09-23-09-00-36
2.0,113.33017861702983,23.143941542978407,2018-09-23-09-00-36
2.0,113.33042811115853,23.143941071343132,2018-09-23-09-00-36
1.0,113.33067760578687,23.14394060009075,2018-09-23-09-00-36
2.0,113.33117659659607,23.143939658784046,2018-09-23-09-00-36
4.0,113.33142609280364,23.14393918875439,2018-09-23-09-00-36
1.0,113.33167558956437,23.143938719156978,2018-09-23-09-00-36
1.0,113.33267358240565,23.1439368453362,2018-09-23-09-00-36
1.0,113.33292308213228,23.14393637808479,2018-09-23-09-00-36
2.0,113.3331725824921,23.143935911339497,2018-09-23-09-00-36
1.0,113.33342208349843,23.143935445112618,2018-09-23-09-00-36
1.0,113.33367158516458,23.14393497941644,2018-09-23-09-00-36
1.0,113.33392108750384,23.143934514263236,2018-09-23-09-00-36
2.0,113.33417059052954,23.143934049665283,2018-09-23-09-00-36
1.0,113.33442009425494,23.143933585634848,2018-09-23-09-00-36
1.0,113.33466959869334,23.143933122184183,2018-09-23-09-00-36
2.0,113.33541811641913,23.143931735433277,2018-09-23-09-00-36
1.0,113.33566762384213,23.143931274424112,2018-09-23-09-00-36
2.0,113.33666566145891,23.143929436918803,2018-09-23-09-00-36
1.0,113.32468982851972,23.14420189177734,2018-09-23-09-00-36
1.0,113.32493931504284,23.144201414845107,2018-09-23-09-00-36
10.0,113.32518880177096,23.144200938023847,2018-09-23-09-00-36
1.0,113.32543828871748,23.144200461325912,2018-09-23-09-00-36
1.0,113.3256877758958,23.14419998476366,2018-09-23-09-00-36
2.0,113.32593726331929,23.14419950834945,2018-09-23-09-00-36
1.0,113.32618675100136,23.14419903209564,2018-09-23-09-00-36
1.0,113.32718470458337,23.144197128931694,2018-09-23-09-00-36
1.0,113.3276836832742,23.14419617863361,2018-09-23-09-00-36
2.0,113.3281826633745,23.144195229323355,2018-09-23-09-00-36
1.0,113.32868164499148,23.14419428109985,2018-09-23-09-00-36
1.0,113.32918062823227,23.144193334062,2018-09-23-09-00-36
3.0,113.3294301204951,23.144192861018595,2018-09-23-09-00-36
3.0,113.32967961320405,23.144192388308685,2018-09-23-09-00-36
2.0,113.33017860001394,23.144191443938755,2018-09-23-09-00-36
1.0,113.33092708390937,23.144190030193837,2018-09-23-09-00-36
2.0,113.33117657957618,23.14418955974423,2018-09-23-09-00-36
1.0,113.33142607578277,23.144189089714533,2018-09-23-09-00-36
1.0,113.33317256546428,23.144185812299348,2018-09-23-09-00-36
1.0,113.33417057349779,23.14418395062497,2018-09-23-09-00-36
3.0,113.3344200772222,23.144183486594493,2018-09-23-09-00-36
1.0,113.33491908682329,23.144182560285103,2018-09-23-09-00-36
1.0,113.3356676068045,23.144181175383547,2018-09-23-09-00-36
1.0,113.3359171150058,23.144180715015278,2018-09-23-09-00-36
1.0,113.3366656444174,23.14417933787807,2018-09-23-09-00-36
